keyword	grammars	status
body	ServiceStore,ServiceStoreEmbeddedData	present
bodyPatterns	ServiceStoreEmbeddedData	present
business	Relational	present
catalog	Athena,Trino	present
class	Diagram,ModelConnection,Service	present
classView	Diagram	present
clientTags	Trino	present
cloudType	Snowflake	present
clusterDetails	ElasticsearchConnection	present
clusterID	Redshift	present
clusterInstanceHostPattern	Aurora	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
columnDefinition	Deephaven	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
columns	Deephaven	present
columnsToCompare	DataQuality	present
composite	Domain	present
connection	Persistence,Runtime	present
connectionStores	Runtime	present
connections	HostedService,Runtime,Service	present
content	ExternalFormat,Text	present
contentType	ExternalFormat,ExternalFormatData,HostedService	present
context	DataQuality	present
coverageRegions	DataSpace	present
data	DataQuality,ExternalFormatData,HostedService,Mapping,Persistence,Service	present
dataProcessingUnits	PersistenceCloud	present
database	Athena,MongoDBConnection,Persistence,PersistenceRelational	present
databaseId	Spanner	present
databaseName	MemSql	present
datasetType	Persistence	present
dateTimeEnd	PersistenceRelational	present
dateTimeFromName	Persistence	present
dateTimeIn	PersistenceRelational	present
dateTimeInName	Persistence	present
dateTimeName	Persistence,PersistenceRelational	present
dateTimeOut	PersistenceRelational	present
dateTimeOutName	Persistence	present
dateTimeStart	PersistenceRelational	present
dateTimeThruName	Persistence	present
debug	MongoDBConnection	present
deduplication	Persistence	present
deduplicationStrategy	Persistence	present
defaultDataset	AuthenticationStrategy,BigQuery	present
defaultExecutionContext	DataSpace	present
defaultRuntime	DataSpace	present
deleteField	Persistence	present
deleteValues	Persistence	present
deploymentSchema	Snowflake	present
deploymentStage	Snowflake	present
derivation	Persistence	present
description	BigQueryFunction,DataQuality,DataSpace,Deephaven,HostedService,MemSqlFunction,Service,ServiceStore,Snowflake	present
diagram	DataSpace	present
diagrams	DataSpace	present
directory	AuthenticationStrategy,DataSourceSpecification	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
disabled	QueryGenerationConfigs	present
doc	Mapping,Persistence	present
documentation	FunctionJar,HostedService,Service	present
documentationUrl	DataSpace	present
duplicateCountName	Persistence	present
elements	DataSpace	present
emails	DataSpace	present
emptyDatasetHandling	Persistence	present
enableQueryTags	Snowflake	present
enabled	QueryGenerationConfigs	present
endField	PersistenceRelational	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
endpointURL	Redshift	present
enum	ServiceStore	present
envVariableName	Authentication	present
error	MongoDBSchema	present
executable	DataSpace	present
executables	DataSpace	present
execution	Service	present
executionContextKey	DataSpace	present
executionContexts	DataSpace	present
executions	HostedService,Service	present
expected	EqualToContentPattern,EqualToJsonContentPattern	present
expectedMatch	DataQuality	present
expertIds	DataSpace	present
expertise	DataSpace	present
explode	ServiceStore	present
extends	Domain,Mapping	present
false	MongoDBSchema,Persistence	present
falseString	FlatData	parsed-generic
faqUrl	DataSpace	present
featuredDiagrams	DataSpace	present
fields	Elasticsearch	present
fileGenerations	GenerationSpecification	present
filter	DataQuality	present
filterDuplicates	Persistence	present
format	ExternalFormat,FlatData	present
from	PostProcessor	present
fromDataSpace	DataQuality	present
fromMappingAndRuntime	DataQuality	present
function	BigQueryFunction,Deephaven,Domain,FunctionJar,HostedService,Mapping,MemSqlFunction,Snowflake	present
functionName	BigQueryFunction,MemSqlFunction	present
generalizationView	Diagram	present
generateLineage	HostedService	present
generationElement	GenerationSpecification	present
generationNodes	GenerationSpecification	present
generationOutputPath	FileGeneration	present
globalClusterInstanceHostPatterns	Aurora	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
graphFetchPath	Persistence	present
groupId	DataSpace	present
headerParameters	ServiceStoreEmbeddedData	present
hideProperties	Diagram	present
hideStereotype	Diagram	present
hideTaggedValue	Diagram	present
host	Aurora,AuthenticationStrategy,DataSourceSpecification,MemSql,Oracle,Redshift,Trino	present
hostname	Databricks	present
httpPath	Databricks	present
id	DataSpace,ExternalFormat,GenerationSpecification	present
idP	Authentication	present
identifier	BigQueryFunction,Deephaven,FunctionJar,HostedService,MemSqlFunction,Service,Snowflake	present
import	Authentication,Connection,Deephaven,Diagram,Domain,Elasticsearch,ExternalFormat,FileGeneration,FunctionJar,GenerationSpecification,HostedService,Mapping,Persistence,RelationalMapper,Runtime,Service	present
include	Mapping,MongoDBSchema,Relational,RelationalMapper	present
indices	Elasticsearch	present
ingestMode	Persistence	present
instanceId	Spanner	present
isTestDataFromServiceOutput	Persistence	present
jsonSchema	MongoDBSchema	present
kerberosRemoteServiceName	Trino	present
kerberosUseCanonicalHostname	Trino	present
key	Service	present
keyName	Authentication	present
keys	DataQuality,HostedService,Persistence,Service	present
label	DataSpace	present
let	M3	present
list	HostedService,Service	present
location	Authentication,ExternalFormat,ServiceStore	present
mappers	PostProcessor	present
mapping	DataSpace,HostedService,Service	present
mappingProvider	DataSpace	present
mappings	ModelConnection,Runtime	present
mcpServer	Service	present
mergeStrategy	Persistence	present
method	ServiceStore,ServiceStoreEmbeddedData	present
milestoning	Relational	present
mode	AuthenticationStrategy,RelationalDatabaseConnection	present
modelClass	Persistence	present
modelExcludes	ExternalFormat	present
modelIncludes	ExternalFormat	present
modelProperty	Persistence	present
moderate	MongoDBSchema	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
name	Aurora,AuthenticationStrategy,DataQuality,DataSourceSpecification,DataSpace,Redshift,Snowflake	present
native	Domain	present
nonProxyHosts	Snowflake	present
none	Domain	present
notifier	Persistence	present
notifyees	Persistence	present
null	MongoDBSchema	present
oauthKey	AuthenticationStrategy	present
operationalMetadata	DataSpace	present
optional	FlatData	present
or	Relational	present
organization	Snowflake	present
outputLocation	Athena	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
owners	Service	present
ownership	BigQueryFunction,Deephaven,FunctionJar,HostedService,MemSqlFunction,Service,Snowflake	present
parameters	HostedService,Service,ServiceStore	present
params	HostedService,Service	present
partitionFields	Persistence	present
partitioning	Persistence	present
parts	Persistence	present
passPhraseVaultReference	Snowflake	present
passphrase	Authentication	present
password	Authentication	present
passwordVaultReference	AuthenticationStrategy	present
path	DuckDB,ServiceStore	present
pattern	HostedService,Service	present
permissionScheme	Snowflake	present
persistence	Persistence	present
persistenceStrategy	DataQuality	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
persister	Persistence	present
platform	Persistence	present
points	Diagram	present
poolId	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
port	Aurora,AuthenticationStrategy,DataSourceSpecification,Databricks,MemSql,Oracle,Redshift,Trino	present
position	Diagram	present
postProcessors	RelationalDatabaseConnection	present
postValidations	HostedService,Service	present
privateKey	Authentication	present
privateKeyVaultReference	Snowflake	present
processing	Relational	present
processingDimension	PersistenceRelational	present
projectId	AuthenticationStrategy,BigQuery,Spanner	present
projectNumber	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
projects	Domain	present
properties	Elasticsearch	present
property	Diagram	present
propertyName	Authentication	present
propertyView	Diagram	present
protocol	Databricks	present
providerId	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
proxyHost	BigQuery,Snowflake,Spanner	present
proxyPort	BigQuery,Snowflake,Spanner	present
psk	Authentication	present
publicUserName	Snowflake	present
query	DataQuality,DataSpace,Mapping,Service	present
queryGenerationConfigs	RelationalDatabaseConnection	present
queryParameters	ServiceStoreEmbeddedData	present
queryTimeOutInSeconds	RelationalDatabaseConnection	present
quoteIdentifiers	RelationalDatabaseConnection	present
quotedIdentifiersIgnoreCase	Snowflake	present
rectangle	Diagram	present
region	Athena,Aurora,Authentication,AuthenticationStrategy,DataSourceSpecification,Redshift,Snowflake	present
relation	RelationElementsData	present
relationalMapper	PostProcessor,RelationalMapper	present
request	ServiceStoreEmbeddedData	present
requestBody	ServiceStore	present
required	ServiceStore	present
response	ServiceStore,ServiceStoreEmbeddedData	present
role	Authentication,Snowflake	present
roleArn	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
roleSessionName	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
runtime	HostedService,Service	present
runtimeComponents	Service	present
sampleValues	DataSpace	present
schema	PostProcessor,Trino	present
schemaFrom	PostProcessor	present
schemaId	ExternalFormat	present
schemaSet	ExternalFormat	present
schemaTo	PostProcessor	present
schemas	ExternalFormat	present
scope	Relational	present
scopeElements	FileGeneration	present
scopeName	AuthenticationStrategy	present
secretAccessKey	Authentication	present
secretId	Authentication	present
section	FlatData	present
security	ServiceStore	present
serializationFormat	HostedService,Service	present
serverPrincipal	AuthenticationStrategy,Trino	present
serverURLs	MongoDBConnection	present
serverUrl	DeephavenConnection	present
serverUrlDefinition	DeephavenConnection	dead-grammar-0-tests
service	Persistence	present
serviceAccountEmail	Authentication,AuthenticationStrategy	present
serviceName	Oracle	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
serviceOutput	Persistence	present
serviceOutputTargets	Persistence	present
serviceParameters	Persistence	present
shared	Domain	present
sink	Persistence	present
sinkConnection	Persistence	present
source	DataQuality,Diagram	present
sourceDateTimeFromField	Persistence	present
sourceDateTimeInField	Persistence	present
sourceDateTimeOutField	Persistence	present
sourceDateTimeThruField	Persistence	present
sourceDerivedDimension	PersistenceRelational	present
sourceFields	PersistenceRelational	present
sourceHashColumn	DataQuality	present
specification	RelationalDatabaseConnection	present
ssl	Trino	present
sslSpecification	Trino	present
stage	BigQueryFunction,HostedService,MemSqlFunction	present
startField	PersistenceRelational	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
stereotypes	DataSpace,Domain,FunctionJar,HostedService,Service	present
store	DeephavenConnection,ElasticsearchConnection,MongoDBConnection,RelationalDatabaseConnection,ServiceStoreConnection	present
storeModel	HostedService	present
strategy	DataQuality	present
strict	MongoDBSchema	present
style	ServiceStore	present
supportInfo	DataSpace	present
supportUrl	DataSpace	present
systemPropertyName	Authentication	present
table	PersistenceRelational,PostProcessor	present
tables	Deephaven	present
tags	DataSpace,Domain,FunctionJar,HostedService,Service	present
target	DataQuality,Diagram,Persistence	present
targetHashColumn	DataQuality	present
targetName	Persistence	present
targetShape	Persistence	present
tempTableDb	Snowflake	present
tempTableSchema	Snowflake	present
temporality	PersistenceRelational	present
test	Service	present
testBatches	Persistence	present
testData	DataSpace	present
testDataSetupCSV	DataSourceSpecification	present
testDataSetupSqls	DataSourceSpecification	present
testSuites	DataQuality,HostedService,Mapping,Service	present
tests	DataQuality,HostedService,Mapping,Persistence,Service	present
timeZone	FlatData	present
timezone	RelationalDatabaseConnection	present
title	DataSpace,Service	present
to	PostProcessor	present
toBytes	M3	present
transactionMilestoning	Persistence	present
transactionScope	Persistence	present
trigger	Persistence	present
true	MongoDBSchema,Persistence	present
trueString	FlatData	parsed-generic
trustStorePasswordVaultReference	Trino	present
trustStorePathVaultReference	Trino	present
type	DataQuality,Mapping,RelationalDatabaseConnection,Text	present
udfName	Snowflake	present
updateFrequency	DataSpace	present
updatesHandling	PersistenceRelational	present
url	ModelConnection,Persistence,ServiceStoreEmbeddedData	present
urlPath	ServiceStoreEmbeddedData	present
usageRole	Snowflake	present
useSsl	MemSql	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
userName	Authentication	present
userNameVaultReference	AuthenticationStrategy	present
username	Authentication	present
users	HostedService,Service	present
validationAction	MongoDBSchema	present
validationLevel	MongoDBSchema	present
validationTree	DataQuality	present
validations	DataQuality	present
validityMilestoning	Persistence	present
value	Authentication	present
vaultReference	AuthenticationStrategy	present
versionField	Persistence	present
versionId	Authentication,DataSpace	present
versionStage	Authentication	present
warehouse	AuthenticationStrategy,Snowflake	present
warn	MongoDBSchema	present
website	DataSpace	present
workGroup	Athena	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
workload	Authentication	present
