trade_id,trade_date,booked_at,region,desk,book,year,quarter,notional,pnl,quantity,settled
100031,2022-02-18,2022-02-18 12:00:00,APAC,Credit,Alpha Fund,2022,Q1,938610.99,-43339.01,219,false
100032,2023-02-14,2023-02-14 04:27:00,AMER,Equities,O'Brien Holdings,2023,Q1,411388.44,-45357.86,387,true
100033,2024-06-04,2024-06-04 13:41:00,EMEA,Credit,O'Brien Holdings,2024,Q2,283279.26,-18149.50,470,true
100034,2025-03-17,2025-03-17 10:47:00,APAC,Commodities,Beta Fund,2025,Q1,652367.76,66219.09,448,true
100035,2021-12-06,2021-12-06 01:16:00,AMER,Rates,"Smith, ""Big"" Fund",2021,Q4,712173.70,-34830.61,175,true
100036,2022-01-06,2022-01-06 13:36:00,EMEA,FX,Beta Fund,2022,Q1,896165.26,71964.19,476,false
100037,2023-02-23,2023-02-23 08:08:00,APAC,Equities,"Smith, ""Big"" Fund",2023,Q1,671625.34,51044.83,477,true
100038,2024-11-06,2024-11-06 03:29:00,AMER,Commodities,O'Brien Holdings,2024,Q4,725915.62,-88961.80,343,true
100039,2025-03-09,2025-03-09 04:13:00,EMEA,Commodities,Alpha Fund,2025,Q1,833137.19,84682.66,248,true
100040,2021-05-21,2021-05-21 13:39:00,APAC,FX,O'Brien Holdings,2021,Q2,117217.25,94110.89,182,true
100041,2022-08-11,2022-08-11 05:49:00,AMER,Credit,Alpha Fund,2022,Q3,447860.49,35085.89,305,true
100042,2023-01-24,2023-01-24 18:07:00,EMEA,Commodities,O'Brien Holdings,2023,Q1,272877.73,-12840.88,126,true
100043,2024-07-13,2024-07-13 08:14:00,APAC,Commodities,"Smith, ""Big"" Fund",2024,Q3,877277.92,86939.20,131,true
100044,2025-08-18,2025-08-18 10:57:00,AMER,Credit,Beta Fund,2025,Q3,204030.86,54461.90,401,true
100045,2021-01-23,2021-01-23 02:31:00,EMEA,Commodities,"Smith, ""Big"" Fund",2021,Q1,397896.00,29682.42,494,true
100046,2022-08-24,2022-08-24 20:33:00,APAC,Rates,Alpha Fund,2022,Q3,111901.14,-19446.12,302,true
100047,2023-03-28,2023-03-28 07:58:00,AMER,Credit,Alpha Fund,2023,Q1,156391.82,-13010.50,359,false
100048,2024-06-22,2024-06-22 04:49:00,EMEA,Equities,Alpha Fund,2024,Q2,912289.03,46955.13,277,true
100049,2025-04-28,2025-04-28 22:11:00,APAC,FX,O'Brien Holdings,2025,Q2,259503.11,-81600.47,420,true
100050,2021-09-08,2021-09-08 13:29:00,AMER,Equities,O'Brien Holdings,2021,Q3,38341.29,-88200.75,172,true
100051,2022-07-07,2022-07-07 08:31:00,EMEA,Rates,Beta Fund,2022,Q3,293905.64,-74615.67,182,false
100052,2023-03-03,2023-03-03 12:22:00,APAC,FX,O'Brien Holdings,2023,Q1,288913.92,-53560.93,162,false
100053,2024-04-23,2024-04-23 01:49:00,AMER,Credit,Beta Fund,2024,Q2,636237.35,57843.62,190,true
100054,2025-03-23,2025-03-23 01:46:00,EMEA,Equities,Alpha Fund,2025,Q1,54818.14,-29779.47,14,true
100055,2021-10-09,2021-10-09 17:41:00,APAC,Rates,Alpha Fund,2021,Q4,247772.88,17071.00,266,true
100056,2022-01-15,2022-01-15 18:20:00,AMER,Equities,"Smith, ""Big"" Fund",2022,Q1,7364.89,-19566.26,368,false
100057,2023-11-02,2023-11-02 19:53:00,EMEA,Rates,O'Brien Holdings,2023,Q4,76204.23,25354.75,198,true
100058,2024-12-03,2024-12-03 21:03:00,APAC,FX,"Smith, ""Big"" Fund",2024,Q4,437808.10,-18456.66,23,true
100059,2025-08-27,2025-08-27 08:29:00,AMER,FX,"Smith, ""Big"" Fund",2025,Q3,953078.31,48013.46,411,false
100060,2021-04-01,2021-04-01 16:32:00,EMEA,Credit,Beta Fund,2021,Q2,99765.86,92341.20,370,true
100061,2022-08-15,2022-08-15 18:32:00,APAC,Commodities,Beta Fund,2022,Q3,70286.82,17649.65,403,true
100062,2023-07-21,2023-07-21 02:36:00,AMER,Commodities,Alpha Fund,2023,Q3,79789.26,3699.30,407,true
100063,2024-07-18,2024-07-18 06:37:00,EMEA,Equities,O'Brien Holdings,2024,Q3,531407.26,55066.69,475,true
100064,2025-07-03,2025-07-03 00:06:00,APAC,Rates,Alpha Fund,2025,Q3,359802.08,-44733.96,466,true
100065,2021-11-06,2021-11-06 12:11:00,AMER,Equities,Alpha Fund,2021,Q4,60733.40,-50004.80,395,false
100066,2022-01-10,2022-01-10 01:32:00,EMEA,Credit,"Smith, ""Big"" Fund",2022,Q1,849099.71,22571.08,387,true
100067,2023-05-23,2023-05-23 23:05:00,APAC,Credit,Alpha Fund,2023,Q2,492379.12,10097.00,396,false
100068,2024-04-02,2024-04-02 16:31:00,AMER,Equities,Alpha Fund,2024,Q2,69849.51,53546.57,147,true
100069,2025-05-17,2025-05-17 22:06:00,EMEA,Equities,Beta Fund,2025,Q2,749332.70,-92527.05,8,true
100070,2021-05-26,2021-05-26 20:54:00,APAC,Commodities,Alpha Fund,2021,Q2,604881.93,-81989.62,118,true
100071,2022-09-04,2022-09-04 03:04:00,AMER,FX,O'Brien Holdings,2022,Q3,959268.63,63774.66,21,true
100072,2023-01-06,2023-01-06 08:10:00,EMEA,FX,O'Brien Holdings,2023,Q1,32730.78,-21584.89,410,false
100073,2024-10-20,2024-10-20 03:35:00,APAC,Equities,Beta Fund,2024,Q4,676131.19,72637.04,230,true
100074,2025-02-04,2025-02-04 15:29:00,AMER,Commodities,O'Brien Holdings,2025,Q1,428637.30,27215.63,267,true
100075,2021-12-16,2021-12-16 13:34:00,EMEA,Rates,Alpha Fund,2021,Q4,848195.12,59638.04,94,false
100076,2022-08-01,2022-08-01 22:34:00,APAC,Commodities,O'Brien Holdings,2022,Q3,204924.67,84437.60,227,false
100077,2023-12-02,2023-12-02 14:11:00,AMER,Credit,"Smith, ""Big"" Fund",2023,Q4,222842.95,12621.56,139,true
100078,2024-09-24,2024-09-24 22:11:00,EMEA,Commodities,Alpha Fund,2024,Q3,39805.06,-84932.70,45,true
100079,2025-01-18,2025-01-18 02:37:00,APAC,Credit,Beta Fund,2025,Q1,303951.96,97205.19,257,true
100080,2021-01-15,2021-01-15 10:42:00,AMER,FX,"Smith, ""Big"" Fund",2021,Q1,173662.44,-77609.32,276,false
100081,2022-10-16,2022-10-16 05:16:00,EMEA,Commodities,O'Brien Holdings,2022,Q4,883215.50,92644.34,278,true
100082,2023-01-07,2023-01-07 00:57:00,APAC,Rates,O'Brien Holdings,2023,Q1,502183.50,7830.35,286,false
100083,2024-12-05,2024-12-05 23:42:00,AMER,FX,"Smith, ""Big"" Fund",2024,Q4,918379.57,56831.09,236,true
100084,2025-03-08,2025-03-08 13:32:00,EMEA,Commodities,"Smith, ""Big"" Fund",2025,Q1,599184.01,48666.47,119,false
100085,2021-03-13,2021-03-13 15:37:00,APAC,Commodities,Alpha Fund,2021,Q1,839065.72,-47383.72,427,false
100086,2022-11-10,2022-11-10 17:47:00,AMER,Equities,O'Brien Holdings,2022,Q4,876585.96,29558.29,377,true
100087,2023-03-11,2023-03-11 07:59:00,EMEA,Equities,Beta Fund,2023,Q1,687968.91,93422.47,473,true
100088,2024-03-06,2024-03-06 22:34:00,APAC,Rates,"Smith, ""Big"" Fund",2024,Q1,808493.93,-92806.80,97,true
100089,2025-11-22,2025-11-22 05:30:00,AMER,Equities,Beta Fund,2025,Q4,466060.94,-97132.18,112,true
100090,2021-02-28,2021-02-28 21:06:00,EMEA,Equities,O'Brien Holdings,2021,Q1,506844.41,15494.30,387,true
100091,2022-12-13,2022-12-13 11:44:00,APAC,FX,"Smith, ""Big"" Fund",2022,Q4,782175.10,-94920.38,111,true
100092,2023-11-08,2023-11-08 04:49:00,AMER,Commodities,Beta Fund,2023,Q4,582778.99,66135.37,306,false
100093,2024-01-18,2024-01-18 03:18:00,EMEA,Credit,"Smith, ""Big"" Fund",2024,Q1,470296.40,-8204.71,453,false
100094,2025-10-18,2025-10-18 23:22:00,APAC,Commodities,"Smith, ""Big"" Fund",2025,Q4,974566.41,-30519.17,334,true
100095,2021-02-08,2021-02-08 00:06:00,AMER,Rates,"Smith, ""Big"" Fund",2021,Q1,714165.69,53549.32,398,false
100096,2022-07-13,2022-07-13 05:11:00,EMEA,Equities,O'Brien Holdings,2022,Q3,437482.03,5736.81,10,true
100097,2023-03-23,2023-03-23 03:20:00,APAC,Credit,"Smith, ""Big"" Fund",2023,Q1,333150.31,-72260.47,350,true
100098,2024-06-04,2024-06-04 12:15:00,AMER,Credit,Beta Fund,2024,Q2,547289.51,-37598.54,393,true
100099,2025-07-28,2025-07-28 17:21:00,EMEA,Credit,"Smith, ""Big"" Fund",2025,Q3,491624.47,-44677.59,386,true
100100,2021-09-19,2021-09-19 16:48:00,APAC,FX,Beta Fund,2021,Q3,108938.73,-80855.29,223,true
100101,2022-04-24,2022-04-24 12:13:00,AMER,Commodities,Beta Fund,2022,Q2,788822.37,10298.54,400,false
100102,2023-12-17,2023-12-17 01:55:00,EMEA,Equities,Alpha Fund,2023,Q4,346521.25,-80773.18,326,true
100103,2024-02-13,2024-02-13 07:43:00,APAC,Equities,"Smith, ""Big"" Fund",2024,Q1,611799.86,30908.94,300,true
100104,2025-04-08,2025-04-08 07:50:00,AMER,FX,O'Brien Holdings,2025,Q2,972981.33,-59006.80,436,true
100105,2021-02-11,2021-02-11 08:29:00,EMEA,Rates,Alpha Fund,2021,Q1,263047.17,-40420.63,454,true
100106,2022-11-20,2022-11-20 13:13:00,APAC,Rates,O'Brien Holdings,2022,Q4,7099.22,78823.67,433,true
100107,2023-06-07,2023-06-07 08:47:00,AMER,Rates,Beta Fund,2023,Q2,537459.45,38429.86,410,true
100108,2024-08-07,2024-08-07 02:31:00,EMEA,Rates,Alpha Fund,2024,Q3,405008.79,22136.17,194,true
100109,2025-12-17,2025-12-17 03:01:00,APAC,Rates,Beta Fund,2025,Q4,760517.43,78142.81,58,true
100110,2021-02-24,2021-02-24 00:41:00,AMER,Commodities,Beta Fund,2021,Q1,978169.64,33150.68,332,true
100111,2022-03-03,2022-03-03 10:31:00,EMEA,Credit,Alpha Fund,2022,Q1,12849.14,84182.18,66,true
100112,2023-12-16,2023-12-16 15:30:00,APAC,Rates,Alpha Fund,2023,Q4,121207.21,-32114.26,357,true
100113,2024-04-17,2024-04-17 05:46:00,AMER,Credit,Alpha Fund,2024,Q2,16469.56,18939.11,454,true
100114,2025-11-18,2025-11-18 08:53:00,EMEA,Credit,"Smith, ""Big"" Fund",2025,Q4,853229.34,28528.00,16,true
100115,2021-10-16,2021-10-16 00:47:00,APAC,FX,Beta Fund,2021,Q4,838397.00,-80830.01,296,true
100116,2022-03-01,2022-03-01 17:25:00,AMER,Rates,O'Brien Holdings,2022,Q1,519366.44,60703.73,239,true
100117,2023-08-27,2023-08-27 17:23:00,EMEA,Commodities,O'Brien Holdings,2023,Q3,444108.88,1234.46,491,true
100118,2024-04-03,2024-04-03 18:55:00,APAC,Credit,O'Brien Holdings,2024,Q2,43449.74,51166.16,495,true
100119,2025-09-02,2025-09-02 05:08:00,AMER,Equities,Beta Fund,2025,Q3,842149.67,2473.14,48,true
100120,2021-08-14,2021-08-14 20:13:00,EMEA,FX,O'Brien Holdings,2021,Q3,686968.54,-42762.89,17,true
100121,2022-10-27,2022-10-27 04:25:00,APAC,Rates,O'Brien Holdings,2022,Q4,47979.24,89288.34,140,false
100122,2023-10-05,2023-10-05 18:42:00,AMER,FX,"Smith, ""Big"" Fund",2023,Q4,971241.29,-74815.95,195,true
100123,2024-09-23,2024-09-23 19:41:00,EMEA,Rates,"Smith, ""Big"" Fund",2024,Q3,711610.28,-63619.92,71,false
100124,2025-12-08,2025-12-08 17:15:00,APAC,Equities,Beta Fund,2025,Q4,598298.55,95865.88,436,true
100125,2021-12-23,2021-12-23 11:40:00,AMER,Equities,"Smith, ""Big"" Fund",2021,Q4,949763.37,-69087.24,482,false
100126,2022-11-26,2022-11-26 23:48:00,EMEA,Credit,"Smith, ""Big"" Fund",2022,Q4,59036.39,-95807.65,55,true
100127,2023-03-22,2023-03-22 20:24:00,APAC,Credit,Alpha Fund,2023,Q1,146025.81,50888.32,357,true
100128,2024-03-12,2024-03-12 19:41:00,AMER,FX,O'Brien Holdings,2024,Q1,579164.16,61085.18,353,true
100129,2025-04-01,2025-04-01 05:29:00,EMEA,Commodities,Beta Fund,2025,Q2,913206.48,-40586.17,456,true
100130,2021-07-27,2021-07-27 00:33:00,APAC,Credit,Beta Fund,2021,Q3,319358.07,38147.50,493,false
100131,2022-09-04,2022-09-04 01:50:00,AMER,Rates,Beta Fund,2022,Q3,976584.29,-96267.75,442,true
100132,2023-10-27,2023-10-27 08:10:00,EMEA,Commodities,Beta Fund,2023,Q4,933288.62,-87475.81,63,true
100133,2024-09-23,2024-09-23 19:52:00,APAC,Equities,Beta Fund,2024,Q3,710567.58,89828.20,189,false
100134,2025-02-13,2025-02-13 14:42:00,AMER,Commodities,Beta Fund,2025,Q1,917009.55,-58773.24,230,false
100135,2021-08-19,2021-08-19 02:06:00,EMEA,Rates,Alpha Fund,2021,Q3,125846.38,4709.69,421,true
100136,2022-11-13,2022-11-13 23:19:00,APAC,Equities,Beta Fund,2022,Q4,131352.37,56641.68,420,true
100137,2023-05-08,2023-05-08 12:00:00,AMER,Commodities,Alpha Fund,2023,Q2,170317.42,71134.16,232,false
100138,2024-03-14,2024-03-14 17:17:00,EMEA,FX,O'Brien Holdings,2024,Q1,465954.70,5175.76,24,true
100139,2025-01-15,2025-01-15 11:00:00,APAC,Rates,"Smith, ""Big"" Fund",2025,Q1,801036.63,68615.02,145,true
100140,2021-03-07,2021-03-07 07:15:00,AMER,Credit,Alpha Fund,2021,Q1,14925.54,31491.07,199,true
100141,2022-12-02,2022-12-02 05:32:00,EMEA,Rates,"Smith, ""Big"" Fund",2022,Q4,808091.31,17575.15,166,true
100142,2023-03-21,2023-03-21 14:34:00,APAC,Rates,Beta Fund,2023,Q1,437498.53,24821.65,322,true
100143,2024-11-13,2024-11-13 18:30:00,AMER,FX,O'Brien Holdings,2024,Q4,992090.71,-38387.58,161,true
100144,2025-08-19,2025-08-19 20:44:00,EMEA,Rates,"Smith, ""Big"" Fund",2025,Q3,211591.93,21536.98,326,false
100145,2021-10-10,2021-10-10 00:09:00,APAC,FX,"Smith, ""Big"" Fund",2021,Q4,658009.04,-6217.29,69,true
100146,2022-03-10,2022-03-10 12:25:00,AMER,Commodities,Alpha Fund,2022,Q1,212566.21,88978.30,449,false
100147,2023-05-12,2023-05-12 09:56:00,EMEA,FX,"Smith, ""Big"" Fund",2023,Q2,253053.59,-46359.15,475,true
100148,2024-11-22,2024-11-22 10:04:00,APAC,Commodities,O'Brien Holdings,2024,Q4,940075.19,10695.51,278,true
100149,2025-03-25,2025-03-25 00:56:00,AMER,FX,O'Brien Holdings,2025,Q1,372901.37,37860.32,107,true
100150,2021-04-15,2021-04-15 23:05:00,EMEA,Rates,Beta Fund,2021,Q2,621696.36,14838.64,396,true
100151,2022-12-01,2022-12-01 00:12:00,APAC,Rates,O'Brien Holdings,2022,Q4,583049.40,37375.89,215,true
100152,2023-03-28,2023-03-28 15:20:00,AMER,FX,"Smith, ""Big"" Fund",2023,Q1,391748.59,-30663.63,367,true
100153,2024-12-16,2024-12-16 20:52:00,EMEA,Rates,Beta Fund,2024,Q4,315967.66,-17234.60,476,false
100154,2025-12-06,2025-12-06 03:22:00,APAC,Equities,Beta Fund,2025,Q4,924904.28,18940.47,274,true
100155,2021-12-23,2021-12-23 23:55:00,AMER,Commodities,Alpha Fund,2021,Q4,915851.32,-51930.61,379,true
100156,2022-08-09,2022-08-09 21:32:00,EMEA,FX,Alpha Fund,2022,Q3,603682.29,85703.78,349,true
100157,2023-07-06,2023-07-06 01:44:00,APAC,Equities,Beta Fund,2023,Q3,168573.03,47225.02,408,true
100158,2024-07-18,2024-07-18 05:50:00,AMER,Commodities,"Smith, ""Big"" Fund",2024,Q3,96223.56,-86206.37,314,true
100159,2025-01-04,2025-01-04 07:09:00,EMEA,Commodities,"Smith, ""Big"" Fund",2025,Q1,893129.86,-32546.12,125,true
100160,2021-01-28,2021-01-28 06:28:00,APAC,Rates,"Smith, ""Big"" Fund",2021,Q1,228215.36,57388.25,493,true
100161,2022-07-12,2022-07-12 11:15:00,AMER,FX,"Smith, ""Big"" Fund",2022,Q3,328060.39,-76482.52,299,false
100162,2023-10-28,2023-10-28 01:04:00,EMEA,Commodities,Beta Fund,2023,Q4,509794.23,2521.66,376,true
100163,2024-07-25,2024-07-25 08:55:00,APAC,Equities,Alpha Fund,2024,Q3,9456.95,-26434.68,114,false
100164,2025-07-14,2025-07-14 10:02:00,AMER,Equities,Beta Fund,2025,Q3,981208.60,-90388.66,58,true
100165,2021-08-26,2021-08-26 00:37:00,EMEA,FX,Beta Fund,2021,Q3,741135.49,-38738.60,102,true
100166,2022-09-21,2022-09-21 18:30:00,APAC,Equities,Alpha Fund,2022,Q3,63964.56,84050.10,495,true
100167,2023-09-02,2023-09-02 22:20:00,AMER,FX,"Smith, ""Big"" Fund",2023,Q3,532.86,89180.07,440,false
100168,2024-11-23,2024-11-23 14:05:00,EMEA,Commodities,O'Brien Holdings,2024,Q4,819915.05,-14066.84,33,false
100169,2025-11-05,2025-11-05 20:44:00,APAC,Commodities,Alpha Fund,2025,Q4,28032.59,41850.44,431,true
100170,2021-03-18,2021-03-18 00:10:00,AMER,Rates,Beta Fund,2021,Q1,571177.10,-66478.68,77,true
100171,2022-12-07,2022-12-07 14:00:00,EMEA,Credit,"Smith, ""Big"" Fund",2022,Q4,529424.56,-92113.45,491,false
100172,2023-02-20,2023-02-20 05:07:00,APAC,FX,Alpha Fund,2023,Q1,330468.27,-15080.59,265,false
100173,2024-05-17,2024-05-17 04:42:00,AMER,Commodities,Beta Fund,2024,Q2,627851.56,-952.44,420,false
100174,2025-10-02,2025-10-02 07:34:00,EMEA,Credit,"Smith, ""Big"" Fund",2025,Q4,553061.72,-57901.23,379,true
100175,2021-03-24,2021-03-24 16:00:00,APAC,Commodities,Beta Fund,2021,Q1,283992.18,-58309.17,43,true
100176,2022-01-27,2022-01-27 22:43:00,AMER,Equities,O'Brien Holdings,2022,Q1,336843.54,53433.18,285,true
100177,2023-02-20,2023-02-20 02:47:00,EMEA,Credit,"Smith, ""Big"" Fund",2023,Q1,957502.36,-15050.28,279,true
100178,2024-05-27,2024-05-27 22:38:00,APAC,Commodities,Alpha Fund,2024,Q2,351896.48,38048.92,246,true
100179,2025-06-21,2025-06-21 03:26:00,AMER,Rates,Alpha Fund,2025,Q2,586139.77,70242.65,412,true
100180,2021-03-26,2021-03-26 09:38:00,EMEA,Rates,"Smith, ""Big"" Fund",2021,Q1,762172.83,73906.84,125,true
100181,2022-06-26,2022-06-26 03:38:00,APAC,Commodities,Alpha Fund,2022,Q2,423267.17,7326.42,420,true
100182,2023-03-27,2023-03-27 01:57:00,AMER,FX,Alpha Fund,2023,Q1,585486.04,3518.04,212,true
100183,2024-07-14,2024-07-14 08:17:00,EMEA,Credit,O'Brien Holdings,2024,Q3,52076.44,21008.13,147,false
100184,2025-04-22,2025-04-22 07:41:00,APAC,FX,Alpha Fund,2025,Q2,397085.64,-8167.75,129,false
100185,2021-04-02,2021-04-02 18:14:00,AMER,Credit,O'Brien Holdings,2021,Q2,552074.27,74897.26,213,true
100186,2022-04-04,2022-04-04 02:20:00,EMEA,Commodities,"Smith, ""Big"" Fund",2022,Q2,578248.92,-24389.63,436,true
100187,2023-05-25,2023-05-25 14:26:00,APAC,Equities,Alpha Fund,2023,Q2,582688.83,-32311.25,151,true
100188,2024-11-22,2024-11-22 19:30:00,AMER,FX,Beta Fund,2024,Q4,393668.67,47753.81,283,false
100189,2025-05-19,2025-05-19 12:29:00,EMEA,Rates,"Smith, ""Big"" Fund",2025,Q2,397982.73,44349.21,122,true
100190,2021-10-15,2021-10-15 00:51:00,APAC,Rates,"Smith, ""Big"" Fund",2021,Q4,931115.87,93905.00,99,false
100191,2022-05-23,2022-05-23 10:45:00,AMER,Commodities,Beta Fund,2022,Q2,340158.79,50805.45,229,true
100192,2023-07-25,2023-07-25 05:51:00,EMEA,FX,Beta Fund,2023,Q3,187726.14,69792.96,436,true
100193,2024-08-22,2024-08-22 22:10:00,APAC,Equities,Beta Fund,2024,Q3,901709.94,-7861.99,266,true
100194,2025-03-03,2025-03-03 15:58:00,AMER,Commodities,Alpha Fund,2025,Q1,161661.76,-23975.26,226,true
100195,2021-03-22,2021-03-22 22:41:00,EMEA,Rates,"Smith, ""Big"" Fund",2021,Q1,952866.52,61786.34,451,true
100196,2022-08-16,2022-08-16 08:31:00,APAC,FX,"Smith, ""Big"" Fund",2022,Q3,383872.91,56445.63,436,true
100197,2023-01-11,2023-01-11 16:12:00,AMER,Equities,O'Brien Holdings,2023,Q1,156243.90,-82494.63,341,true
100198,2024-09-06,2024-09-06 12:31:00,EMEA,FX,"Smith, ""Big"" Fund",2024,Q3,826233.35,-16575.25,385,true
100199,2025-10-25,2025-10-25 17:24:00,APAC,Rates,Alpha Fund,2025,Q4,975214.96,36174.76,425,true
100200,2021-08-04,2021-08-04 22:50:00,AMER,FX,Beta Fund,2021,Q3,502485.18,32732.07,164,true
100201,2022-12-12,2022-12-12 04:52:00,EMEA,Credit,Alpha Fund,2022,Q4,770256.79,-51447.76,114,true
100202,2023-08-19,2023-08-19 11:28:00,APAC,Credit,Beta Fund,2023,Q3,354751.32,32041.28,141,false
100203,2024-04-27,2024-04-27 20:28:00,AMER,Credit,Alpha Fund,2024,Q2,128768.86,76091.36,308,true
100204,2025-10-06,2025-10-06 18:59:00,EMEA,Equities,"Smith, ""Big"" Fund",2025,Q4,758420.71,-70138.80,281,true
100205,2021-06-25,2021-06-25 03:50:00,APAC,Credit,Alpha Fund,2021,Q2,152323.55,-13989.27,60,true
100206,2022-02-01,2022-02-01 12:27:00,AMER,Rates,Beta Fund,2022,Q1,469675.99,-86907.00,495,true
100207,2023-05-19,2023-05-19 18:40:00,EMEA,Rates,Alpha Fund,2023,Q2,882728.20,60717.29,15,true
100208,2024-05-21,2024-05-21 20:08:00,APAC,Rates,Alpha Fund,2024,Q2,740508.64,95455.93,166,true
100209,2025-06-17,2025-06-17 19:51:00,AMER,Credit,"Smith, ""Big"" Fund",2025,Q2,403738.10,37268.57,303,false
100210,2021-01-15,2021-01-15 16:14:00,EMEA,FX,Beta Fund,2021,Q1,238920.77,-76665.56,387,true
100211,2022-03-20,2022-03-20 21:21:00,APAC,Equities,"Smith, ""Big"" Fund",2022,Q1,495772.98,894.25,319,true
100212,2023-12-07,2023-12-07 05:21:00,AMER,Equities,Alpha Fund,2023,Q4,582344.26,80188.77,238,true
100213,2024-03-04,2024-03-04 02:15:00,EMEA,Equities,"Smith, ""Big"" Fund",2024,Q1,912818.72,-53406.84,441,true
100214,2025-03-19,2025-03-19 19:25:00,APAC,Credit,"Smith, ""Big"" Fund",2025,Q1,428610.03,-64210.89,250,true
100215,2021-06-13,2021-06-13 23:17:00,AMER,FX,"Smith, ""Big"" Fund",2021,Q2,865155.69,-93435.16,407,true
100216,2022-03-08,2022-03-08 08:47:00,EMEA,Rates,O'Brien Holdings,2022,Q1,513136.06,-28370.88,294,false
100217,2023-01-21,2023-01-21 18:50:00,APAC,Equities,"Smith, ""Big"" Fund",2023,Q1,264497.15,43295.93,464,false
100218,2024-06-12,2024-06-12 21:15:00,AMER,FX,O'Brien Holdings,2024,Q2,771009.74,-13848.93,121,false
100219,2025-07-16,2025-07-16 15:42:00,EMEA,Rates,"Smith, ""Big"" Fund",2025,Q3,87884.25,45951.03,278,true
